"DateTime","Depth","PHY_TCHLA"
2013-08-12,6,2.7891
2013-08-12,7,2.6701
2013-08-12,8,2.7732
2013-08-12,9,2.7137
2013-08-12,9.2,2.7137
2013-08-28,0.1,2.3408
2013-08-28,1,2.5312
2013-08-28,2,5.2607
2013-08-28,3,12.6717
2013-08-28,4,16.3852
2013-08-28,5,4.2253
2013-08-28,6,4.2848
2013-08-28,7,4.1657
2013-08-28,8,4.0507
2013-08-28,9,4.3046
2013-08-28,9.2,4.2411
2013-09-18,0.1,2.2733
2013-09-18,1,2.3685
2013-09-18,2,2.6383
2013-09-18,3,2.7573
2013-09-18,4,24.792
2013-09-18,5,6.4827
2013-09-18,6,6.6136
2013-09-18,7,6.1177
2013-09-18,8,6.6374
2013-09-18,9,6.3835
2013-09-18,9.2,6.3914
2013-09-25,0.1,3.162
2013-09-25,1,3.2771
2013-09-25,2,3.4119
2013-09-25,3,5.5265
2013-09-25,4,20.6659
2013-09-25,5,6.8913
2013-09-25,6,5.5702
2013-09-25,7,5.6813
2013-09-25,8,5.5821
2013-09-25,9,5.0941
2013-09-25,9.2,5.5702
2013-10-16,0.1,5.1377
2013-10-16,1,5.7408
2013-10-16,2,6.2407
2013-10-16,3,6.923
2013-10-16,4,5.3798
2013-10-16,5,13.9572
2013-10-16,6,3.9555
2013-10-16,7,3.1303
2013-10-16,8,3.2652
2013-10-16,9,3.1342
2013-10-16,9.2,3.3485
2013-10-23,0.1,4.8838
2013-10-23,1,5.2449
2013-10-23,2,5.7447
2013-10-23,3,6.1812
2013-10-23,4,6.2327
2013-10-23,5,4.2094
2013-10-23,6,1.6862
2013-10-23,7,1.5433
2013-10-23,8,1.4719
2013-10-23,9,1.4719
2013-10-23,9.2,1.4957
2013-10-30,0.1,5.4393
2013-10-30,1,5.8439
2013-10-30,2,5.7567
2013-10-30,3,6.2407
2013-10-30,4,5.5583
2013-10-30,5,6.1097
2013-10-30,6,6.3637
2013-10-30,7,6.1574
2013-10-30,8,5.9987
2013-10-30,9,6.201
2013-10-30,9.2,5.8757
2013-11-06,0.1,3.0192
2013-11-06,1,3.9594
2013-11-06,2,4.9592
2013-11-06,3,5.1377
2013-11-06,4,5.3282
2013-11-06,5,5.7447
2013-11-06,6,5.4432
2013-11-06,7,5.6932
2013-11-06,8,5.6932
2013-11-06,9,5.2171
2013-11-06,9.2,5.1219
2013-11-20,0.1,2.6701
2013-11-20,1,3.9277
2013-11-20,2,3.6262
2013-11-20,3,3.6143
2013-11-20,4,3.8722
2013-11-20,5,3.3643
2013-11-20,6,3.4239
2013-11-20,7,3.5032
2013-11-20,8,3.8206
2013-11-20,9,3.8047
2013-11-20,9.2,4.5823
2013-12-04,0.1,4.4514
2013-12-04,1,4.1419
2013-12-04,2,11.1602
2013-12-04,3,10.6524
2013-12-04,4,8.5735
2013-12-04,5,8.6965
2013-12-04,6,9.9501
2013-12-04,7,8.0418
2013-12-04,8,12.0489
2013-12-04,9,9.1368
2013-12-04,9.2,10.7317
2014-05-05,0.1,0.4959
2014-05-05,1,0.9284
2014-05-05,2,2.0115
2014-05-05,3,2.0472
2014-05-05,4,4.0309
2014-05-05,5,3.6024
2014-05-05,6,1.4283
2014-05-05,7,0.8649
2014-05-05,8,0.6308
2014-05-05,9,0.5912
2014-05-05,9.2,0.5039
2014-05-06,0.1,0.5436
2014-05-06,1,1.2855
2014-05-06,2,1.9758
2014-05-06,3,2.3646
2014-05-06,4,4.2054
2014-05-06,5,4.6379
2014-05-06,6,1.71
2014-05-06,7,1.2775
2014-05-06,8,0.615
2014-05-06,9,0.5158
2014-05-06,9.2,0.5951
2014-05-07,0.1,0.6745
2014-05-07,1,0.98
2014-05-07,2,1.5235
2014-05-07,3,2.2217
2014-05-07,4,2.3963
2014-05-07,5,5.6813
2014-05-07,6,2.5153
2014-05-07,7,1.3767
2014-05-07,8,1.579
2014-05-07,9,1.3331
2014-05-07,9.2,1.2537
2014-05-08,0.1,0.6229
2014-05-08,1,0.8213
2014-05-08,2,1.6544
2014-05-08,3,2.6026
2014-05-08,4,2.5788
2014-05-08,5,4.0547
2014-05-08,6,1.9559
2014-05-08,7,1.9639
2014-05-08,8,2.2217
2014-05-08,9,1.7496
2014-05-08,9.2,1.9996
2014-05-09,0.1,0.7776
2014-05-09,1,1.0117
2014-05-09,2,1.6504
2014-05-09,3,2.436
2014-05-09,4,3.0708
2014-05-09,5,5.6099
2014-05-09,6,2.682
2014-05-09,7,2.5352
2014-05-09,8,2.5907
2014-05-09,9,2.6582
2014-05-09,9.2,2.4161
2014-05-10,0.1,2.6383
2014-05-10,1,2.5629
2014-05-10,2,2.6502
2014-05-10,3,3.3405
2014-05-10,4,3.0192
2014-05-10,5,4.4316
2014-05-10,6,2.7811
2014-05-10,7,2.6463
2014-05-10,8,2.4796
2014-05-10,9,2.3249
2014-05-10,9.2,2.5907
2014-05-12,0.1,0.7657
2014-05-12,1,1.1387
2014-05-12,2,1.7695
2014-05-12,3,2.7454
2014-05-12,4,3.289
2014-05-12,5,4.7212
2014-05-12,6,3.2334
2014-05-12,7,3.289
2014-05-12,8,3.0271
2014-05-12,9,3.0549
2014-05-12,9.2,2.8565
2014-05-14,0.1,0.6665
2014-05-14,1,1.1307
2014-05-14,2,1.4521
2014-05-14,3,2.7454
2014-05-14,4,3.7412
2014-05-14,5,4.4474
2014-05-14,6,3.166
2014-05-14,7,3.5468
2014-05-14,8,3.6698
2014-05-14,9,3.3009
2014-05-14,9.2,3.7412
2014-05-15,0.1,2.793
2014-05-15,1,2.6502
2014-05-15,2,2.2733
2014-05-15,3,2.4161
2014-05-15,4,3.7769
2014-05-15,5,4.0269
2014-05-15,6,3.654
2014-05-15,7,4.2332
2014-05-15,8,3.7888
2014-05-15,9,3.6024
2014-05-15,9.2,3.7174
2014-05-19,0.1,0.8173
2014-05-19,1,1.2537
2014-05-19,2,2.5828
2014-05-19,3,3.527
2014-05-19,4,4.1618
2014-05-19,5,4.6061
2014-05-19,6,3.3564
2014-05-19,7,3.7888
2014-05-19,8,3.7412
2014-05-19,9,3.4675
2014-05-19,9.2,3.3564
2014-05-22,0.1,0.9284
2014-05-22,1,1.702
2014-05-22,2,2.2098
2014-05-22,3,3.281
2014-05-22,4,4.257
2014-05-22,5,3.4159
2014-05-22,6,3.0192
2014-05-22,7,2.9716
2014-05-22,8,2.8565
2014-05-22,9,2.9002
2014-05-22,9.2,2.9041
2014-05-26,0.1,0.5713
2014-05-26,1,1.8925
2014-05-26,2,2.0432
2014-05-26,3,3.9118
2014-05-26,4,4.0586
2014-05-26,5,3.4913
2014-05-26,6,2.7891
2014-05-26,7,2.9795
2014-05-26,8,2.8407
2014-05-26,9,2.5233
2014-05-26,9.2,2.674
2014-05-28,0.1,0.7618
2014-05-28,1,2.1107
2014-05-28,2,2.3368
2014-05-28,3,4.1261
2014-05-28,4,4.9632
2014-05-28,5,3.6857
2014-05-28,6,2.9319
2014-05-28,7,2.7811
2014-05-28,8,2.1424
2014-05-28,9,2.4161
2014-05-28,9.2,2.8605
2014-06-02,0.1,1.7893
2014-06-02,1,3.8563
2014-06-02,2,3.6341
2014-06-02,3,4.741
2014-06-02,4,7.0103
2014-06-02,5,2.3447
2014-06-02,6,1.7734
2014-06-02,7,1.7179
2014-06-02,8,1.7258
2014-06-02,9,1.71
2014-06-02,9.2,1.7139
2014-06-03,0.1,1.5156
2014-06-03,1,1.4441
2014-06-03,2,2.4241
2014-06-03,3,3.3088
2014-06-03,4,7.288
2014-06-03,5,1.9718
2014-06-03,6,1.9599
2014-06-03,7,1.9639
2014-06-03,8,1.7139
2014-06-03,9,1.4481
2014-06-03,9.2,1.8806
2014-06-04,0.1,1.214
2014-06-04,1,1.7774
2014-06-04,2,2.3487
2014-06-04,3,6.1494
2014-06-04,4,6.3279
2014-06-04,5,5.0663
2014-06-04,6,1.464
2014-06-04,7,1.1942
2014-06-04,8,1.1664
2014-06-04,9,1.1307
2014-06-04,9.2,0.8649
2014-06-05,0.1,2.1265
2014-06-05,1,2.9002
2014-06-05,2,2.7653
2014-06-05,3,6.5263
2014-06-05,4,10.2318
2014-06-05,5,1.5156
2014-06-05,6,1.2537
2014-06-05,7,1.1149
2014-06-05,8,0.8768
2014-06-05,9,0.9958
2014-06-05,9.2,0.8689
2014-06-06,0.1,1.6901
2014-06-06,1,1.8766
2014-06-06,2,2.1226
2014-06-06,3,2.7811
2014-06-06,4,10.2953
2014-06-06,5,1.8171
2014-06-06,6,1.6346
2014-06-06,7,1.1744
2014-06-06,8,0.8689
2014-06-06,9,0.9284
2014-06-06,9.2,0.738
2014-06-09,0.1,0.8014
2014-06-09,1,1.2497
2014-06-09,2,2.5748
2014-06-09,3,3.9555
2014-06-09,4,10.1168
2014-06-09,5,3.65
2014-06-09,6,1.2616
2014-06-09,7,0.9284
2014-06-09,8,0.8094
2014-06-09,9,0.6824
2014-06-09,9.2,0.6824
2014-06-12,0.1,2.0115
2014-06-12,1,2.3487
2014-06-12,2,2.4598
2014-06-12,3,2.9795
2014-06-12,4,9.601
2014-06-12,5,5.832
2014-06-12,6,1.0553
2014-06-12,7,0.8252
2014-06-12,8,0.6467
2014-06-12,9,0.7618
2014-06-12,9.2,0.5793
2014-06-16,0.1,0.5594
2014-06-16,1,1.3648
2014-06-16,2,2.6661
2014-06-16,3,2.9359
2014-06-16,4,6.7842
2014-06-16,5,4.011
2014-06-16,6,1.464
2014-06-16,7,0.9681
2014-06-16,8,0.8411
2014-06-16,9,0.607
2014-06-16,9.2,0.5555
2014-06-19,0.1,0.9522
2014-06-19,1,1.5037
2014-06-19,2,2.7256
2014-06-19,3,4.5585
2014-06-19,4,7.5856
2014-06-19,5,4.1737
2014-06-19,6,1.5354
2014-06-19,7,1.1307
2014-06-19,8,0.7062
2014-06-19,9,0.5198
2014-06-19,9.2,0.5317
2014-06-23,0.1,2.4003
2014-06-23,1,2.7772
2014-06-23,2,4.6339
2014-06-23,3,4.6141
2014-06-23,4,9.7438
2014-06-23,5,4.0348
2014-06-23,6,2.2971
2014-06-23,7,1.8329
2014-06-23,8,1.1545
2014-06-23,9,0.5951
2014-06-23,9.2,0.4563
2014-06-25,0.1,2.1821
2014-06-25,1,2.3685
2014-06-25,2,4.6418
2014-06-25,3,6.6533
2014-06-25,4,8.4624
2014-06-25,5,4.0031
2014-06-25,6,1.5989
2014-06-25,7,1.2696
2014-06-25,8,1.1426
2014-06-25,9,0.607
2014-06-25,9.2,1.2339
2014-06-29,0.1,1.3053
2014-06-29,1,2.0313
2014-06-29,2,3.4397
2014-06-29,3,5.717
2014-06-29,4,5.8995
2014-06-29,5,4.257
2014-06-29,6,2.0988
2014-06-29,7,1.2101
2014-06-29,8,0.7737
2014-06-29,9,0.9601
2014-06-29,9.2,0.8887
2014-06-30,0.1,1.2061
2014-06-30,1,1.7258
2014-06-30,2,1.952
2014-06-30,3,3.6024
2014-06-30,4,6.7009
2014-06-30,5,4.2967
2014-06-30,6,1.4521
2014-06-30,7,1.2735
2014-06-30,8,1.2616
2014-06-30,9,1.1387
2014-06-30,9.2,1.2497
2014-07-01,0.1,1.0553
2014-07-01,1,1.337
2014-07-01,2,1.6346
2014-07-01,3,4.1618
2014-07-01,4,6.8953
2014-07-01,5,3.8404
2014-07-01,6,1.8806
2014-07-01,7,1.6266
2014-07-01,8,1.6346
2014-07-01,9,1.6425
2014-07-01,9.2,1.6346
2014-07-02,0.1,0.9205
2014-07-02,1,0.9998
2014-07-02,2,1.6266
2014-07-02,3,3.2017
2014-07-02,4,8.6568
2014-07-02,5,4.1102
2014-07-02,6,1.9599
2014-07-02,7,2.1464
2014-07-02,8,1.829
2014-07-02,9,1.8925
2014-07-02,9.2,1.5552
2014-07-07,0.1,1.2656
2014-07-07,1,1.3965
2014-07-07,2,1.9044
2014-07-07,3,2.801
2014-07-07,4,3.6817
2014-07-07,5,3.9991
2014-07-07,6,2.9121
2014-07-07,7,2.7256
2014-07-07,8,2.5312
2014-07-07,9,2.8407
2014-07-07,9.2,2.5986
2014-07-09,0.1,1.0672
2014-07-09,1,1.456
2014-07-09,2,1.9718
2014-07-09,3,3.2612
2014-07-09,4,4.4514
2014-07-09,5,4.8481
2014-07-09,6,2.5193
2014-07-09,7,2.5193
2014-07-09,8,2.5986
2014-07-09,9,2.8049
2014-07-09,9.2,2.5391
2014-07-14,0.1,0.8967
2014-07-14,1,1.218
2014-07-14,2,1.9242
2014-07-14,3,4.6934
2014-07-14,4,5.3123
2014-07-14,5,4.6339
2014-07-14,6,2.7216
2014-07-14,7,3.1382
2014-07-14,8,2.4122
2014-07-14,9,2.6859
2014-07-14,9.2,2.4122
2014-07-16,0.1,1.4521
2014-07-16,1,1.7774
2014-07-16,2,1.9083
2014-07-16,3,3.3881
2014-07-16,4,6.6493
2014-07-16,5,4.864
2014-07-16,6,2.7375
2014-07-16,7,2.5272
2014-07-16,8,2.3527
2014-07-16,9,1.8964
2014-07-16,9.2,1.9242
2014-07-21,0.1,1.9758
2014-07-21,1,2.92
2014-07-21,2,3.5786
2014-07-21,3,7.8355
2014-07-21,4,7.2603
2014-07-21,5,4.257
2014-07-21,6,2.7494
2014-07-21,7,2.3368
2014-07-21,8,2.3566
2014-07-21,9,2.5352
2014-07-21,9.2,2.3408
2014-07-23,0.1,1.337
2014-07-23,1,1.7853
2014-07-23,2,2.4638
2014-07-23,3,3.9912
2014-07-23,4,8.9186
2014-07-23,5,4.2292
2014-07-23,6,3.3009
2014-07-23,7,3.5667
2014-07-23,8,3.3802
2014-07-23,9,3.4556
2014-07-23,9.2,3.2929
2014-07-28,0.1,1.5989
2014-07-28,1,1.9123
2014-07-28,2,2.5431
2014-07-28,3,4.6537
2014-07-28,4,9.5613
2014-07-28,5,3.8722
2014-07-28,6,3.9872
2014-07-28,7,3.7293
2014-07-28,8,3.3762
2014-07-28,9,3.4834
2014-07-28,9.2,3.5349
2014-07-30,0.1,1.2616
2014-07-30,1,1.6981
2014-07-30,2,2.2852
2014-07-30,3,4.9671
2014-07-30,4,10.8785
2014-07-30,5,5.4591
2014-07-30,6,3.9277
2014-07-30,7,3.5984
2014-07-30,8,3.6738
2014-07-30,9,3.4913
2014-07-30,9.2,3.8047
2014-08-02,0.1,3.1104
2014-08-02,1,3.2572
2014-08-02,2,3.8801
2014-08-02,3,8.018
2014-08-02,4,10.577
2014-08-02,5,6.0304
2014-08-02,6,4.5942
2014-08-02,7,3.6143
2014-08-02,8,3.1223
2014-08-02,9,2.924
2014-08-02,9.2,3.1739
2014-08-04,0.1,1.4521
2014-08-04,1,1.7615
2014-08-04,2,2.1662
2014-08-04,3,2.9557
2014-08-04,4,12.6717
2014-08-04,5,5.2211
2014-08-04,6,2.6542
2014-08-04,7,2.0115
2014-08-04,8,2.0075
2014-08-04,9,5.6495
2014-08-04,9.2,11.2078
2014-08-06,0.1,1.0871
2014-08-06,1,1.341
2014-08-06,2,1.8567
2014-08-06,3,3.4953
2014-08-06,4,7.8514
2014-08-06,5,6.5898
2014-08-06,6,4.6379
2014-08-06,7,4.3919
2014-08-06,8,3.4318
2014-08-06,9,7.3595
2014-08-06,9.2,9.2598
2014-08-09,0.1,3.0946
2014-08-09,1,3.5508
2014-08-09,2,3.5429
2014-08-09,3,5.717
2014-08-09,4,5.7725
2014-08-09,5,8.6409
2014-08-09,6,4.1102
2014-08-09,7,3.039
2014-08-09,8,4.8521
2014-08-09,9,5.4155
2014-08-09,9.2,6.2169
2014-08-10,0.1,3.9753
2014-08-10,1,4.495
2014-08-10,2,4.7886
2014-08-10,3,4.2411
2014-08-10,4,4.4792
2014-08-10,5,7.8871
2014-08-10,6,2.0908
2014-08-10,7,1.4441
2014-08-10,8,1.6465
2014-08-10,9,3.289
2014-08-10,9.2,3.0628
2014-08-11,0.1,2.7058
2014-08-11,1,3.9317
2014-08-11,2,5.6971
2014-08-11,3,4.1657
2014-08-11,4,2.7058
2014-08-11,5,12.9375
2014-08-11,6,1.456
2014-08-11,7,1.1466
2014-08-11,8,2.8367
2014-08-11,9,3.1818
2014-08-11,9.2,3.4278
2014-08-13,0.1,1.5909
2014-08-13,1,2.2019
2014-08-13,2,3.0906
2014-08-13,3,5.9511
2014-08-13,4,2.7137
2014-08-13,5,11.5529
2014-08-13,6,1.1466
2014-08-13,7,0.8173
2014-08-13,8,2.2733
2014-08-13,9,2.8248
2014-08-13,9.2,2.8565
2014-08-18,0.1,1.7734
2014-08-18,1,3.7452
2014-08-18,2,7.1413
2014-08-18,3,7.0143
2014-08-18,4,4.1221
2014-08-18,5,7.1532
2014-08-18,6,2.9795
2014-08-18,7,2.551
2014-08-18,8,2.3527
2014-08-18,9,4.13
2014-08-18,9.2,4.2649
2014-08-19,0.1,2.7296
2014-08-19,1,3.7373
2014-08-19,2,6.7048
2014-08-19,3,5.7844
2014-08-19,4,6.9072
2014-08-19,5,3.6302
2014-08-19,6,2.1107
2014-08-19,7,1.7853
2014-08-19,8,1.8448
2014-08-19,9,1.7139
2014-08-19,9.2,1.9559
2014-08-21,0.1,1.702
2014-08-21,1,2.8565
2014-08-21,2,5.598
2014-08-21,3,7.8078
2014-08-21,4,4.376
2014-08-21,5,9.4661
2014-08-21,6,2.8803
2014-08-21,7,2.6502
2014-08-21,8,2.436
2014-08-21,9,2.5907
2014-08-21,9.2,2.5907
2014-08-25,0.1,1.7893
2014-08-25,1,3.4675
2014-08-25,2,6.443
2014-08-25,3,9.7835
2014-08-25,4,8.7758
2014-08-25,5,3.6659
2014-08-25,6,2.0194
2014-08-25,7,2.1305
2014-08-25,8,2.1702
2014-08-25,9,2.2297
2014-08-25,9.2,2.2932
2014-09-03,0.1,2.3606
2014-09-03,1,2.2416
2014-09-03,2,2.8208
2014-09-03,3,5.8558
2014-09-03,4,8.7679
2014-09-03,5,5.8162
2014-09-03,6,4.1737
2014-09-03,7,3.9515
2014-09-03,8,4.0626
2014-09-03,9,4.4435
2014-09-03,9.2,4.618
2014-09-08,0.1,3.7611
2014-09-08,1,4.1975
2014-09-08,2,4.1419
2014-09-08,3,6.9786
2014-09-08,4,19.0592
2014-09-08,5,4.1618
2014-09-08,6,2.7573
2014-09-08,7,2.7613
2014-09-08,8,2.6304
2014-09-08,9,2.4876
2014-09-08,9.2,2.4955
2014-09-15,0.1,3.7016
2014-09-15,1,4.7053
2014-09-15,2,4.8323
2014-09-15,3,5.0306
2014-09-15,4,6.0185
2014-09-15,5,3.6698
2014-09-15,6,1.3846
2014-09-15,7,1.3688
2014-09-15,8,1.2577
2014-09-15,9,1.2299
2014-09-15,9.2,1.2974
2014-09-22,0.1,2.1067
2014-09-22,1,2.9954
2014-09-22,2,4.4316
2014-09-22,3,6.0264
2014-09-22,4,11.91
2014-09-22,5,5.9669
2014-09-22,6,2.4439
2014-09-22,7,1.9282
2014-09-22,8,1.5275
2014-09-22,9,1.4878
2014-09-22,9.2,1.4719
2014-09-29,0.1,4.4911
2014-09-29,1,6.4946
2014-09-29,2,11.6283
2014-09-29,3,17.8571
2014-09-29,4,15.191
2014-09-29,5,10.8507
2014-09-29,6,3.0708
2014-09-29,7,2.9319
2014-09-29,8,3.3247
2014-09-29,9,3.3604
2014-09-29,9.2,3.6817
2014-10-04,0.1,3.4556
2014-10-04,1,5.1258
2014-10-04,2,8.514
2014-10-04,3,17.7182
2014-10-04,4,21.1579
2014-10-04,5,9.4026
2014-10-04,6,2.2416
2014-10-04,7,1.8687
2014-10-04,8,1.7853
2014-10-04,9,1.8806
2014-10-04,9.2,1.7615
2014-10-15,0.1,10.569
2014-10-15,1,13.2906
2014-10-15,2,13.4811
2014-10-15,3,18.0435
2014-10-15,4,14.4888
2014-10-15,5,13.8223
2014-10-15,6,3.8563
2014-10-15,7,1.6028
2014-10-15,8,1.4441
2014-10-15,9,1.5116
2014-10-15,9.2,1.5552
2014-10-23,0.1,4.3165
2014-10-23,1,9.0734
2014-10-23,2,10.7634
2014-10-23,3,12.5646
2014-10-23,4,12.5567
2014-10-23,5,10.9618
2014-10-23,6,11.7354
2014-10-23,7,12.148
2014-10-23,8,12.1282
2014-10-23,9,12.0092
2014-10-23,9.2,12.2591
2014-11-10,0.1,5.7884
2014-11-10,1,12.4258
2014-11-10,2,14.1198
2014-11-10,3,14.7109
2014-11-10,4,15.3616
2014-11-10,5,15.4806
2014-11-10,6,15.1632
2014-11-10,7,13.5168
2014-11-10,8,14.0008
2014-11-10,9,14.7903
2014-11-10,9.2,14.7189
2014-12-10,0.1,0.5356
2014-12-10,1,0.5991
2014-12-10,2,0.9522
2014-12-10,3,1.4005
2014-12-10,4,1.4005
2014-12-10,5,1.4997
2014-12-10,6,1.464
2014-12-10,7,1.579
2014-12-10,8,1.3807
2014-12-10,9,1.5632
2014-12-10,9.2,1.46
2015-03-16,0.1,1.1744
2015-03-16,1,2.4241
2015-03-16,2,4.6498
2015-03-16,3,4.9989
2015-03-16,4,4.5387
2015-03-16,5,4.6458
2015-03-16,6,4.9473
2015-03-16,7,3.8404
2015-03-16,8,4.1499
2015-03-16,9,2.1702
2015-03-16,9.2,2.1702
2015-03-31,0.1,0.8371
2015-03-31,1,1.583
2015-03-31,2,3.3802
2015-03-31,3,6.5263
2015-03-31,4,6.5382
2015-03-31,5,6.4073
2015-03-31,6,6.0859
2015-03-31,7,5.8082
2015-03-31,8,5.4115
2015-03-31,9,4.0943
2015-03-31,9.2,3.5944
2015-04-07,0.1,0.3531
2015-04-07,1,0.484
2015-04-07,2,0.7181
2015-04-07,3,1.0395
2015-04-07,4,1.8528
2015-04-07,5,5.963
2015-04-07,6,7.1254
2015-04-07,7,5.7487
2015-04-07,8,5.4313
2015-04-07,9,4.8204
