Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOSat,Cond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_Temp,Flag_DO,Flag_DOSat,Flag_Cond,Flag_PAR,Flag_ORP,Flag_pH
BVR,50,9/25/14 12:00,7,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,9/25/14 12:00,8,NA,NA,NA,NA,NA,NA,5.8,1,1,1,1,1,1,0
BVR,50,9/25/14 12:00,9,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,9/25/14 12:00,10,NA,NA,NA,NA,NA,NA,5.9,1,1,1,1,1,1,0
BVR,50,9/25/14 12:00,11,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,9/25/14 12:00,12,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,5/14/15 12:00,-0.1,NA,NA,NA,NA,2700,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,0.1,NA,NA,NA,NA,200,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,1,NA,NA,NA,NA,188,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,2,NA,NA,NA,NA,100,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,3,NA,NA,NA,NA,70,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,4,NA,NA,NA,NA,48.5,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,5,NA,NA,NA,NA,29.5,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,6,NA,NA,NA,NA,15.8,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,7,NA,NA,NA,NA,15,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,8,NA,NA,NA,NA,3,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,9,NA,NA,NA,NA,0.62,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,10,NA,NA,NA,NA,0.12,NA,NA,1,1,1,1,0,1,1
BVR,50,5/14/15 12:00,11,NA,NA,NA,NA,0.03,NA,NA,1,1,1,1,0,1,1
BVR,50,5/28/15 12:00,-0.1,NA,NA,NA,NA,1841,NA,NA,1,1,1,1,0,1,1
BVR,50,5/28/15 12:00,0.1,NA,NA,NA,NA,43,NA,7.2,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,1,NA,NA,NA,NA,57,NA,7.28,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,2,NA,NA,NA,NA,43.6,NA,7.34,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,3,NA,NA,NA,NA,43,NA,7.36,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,4,NA,NA,NA,NA,32.8,NA,6.43,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,5,NA,NA,NA,NA,27,NA,6.34,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,6,NA,NA,NA,NA,22.8,NA,6.28,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,7,NA,NA,NA,NA,13.8,NA,5.96,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,8,NA,NA,NA,NA,7,NA,5.84,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,9,NA,NA,NA,NA,2.3,NA,5.76,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,10,NA,NA,NA,NA,0.19,NA,5.76,1,1,1,1,0,1,0
BVR,50,5/28/15 12:00,11,NA,NA,NA,NA,0.04,NA,5.93,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,-0.1,NA,NA,NA,NA,223.3,NA,NA,1,1,1,1,0,1,1
BVR,50,6/4/15 12:00,0.1,NA,NA,NA,NA,125.7,NA,6.96,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,0.1,22.2,7.44,90.9,29.1,NA,NA,6.96,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,1,NA,NA,NA,NA,50.9,NA,7.08,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,1,22.3,7.74,95.1,27.8,NA,NA,7.08,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,2,NA,NA,NA,NA,21.45,NA,7.17,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,2,22.3,7.39,90.4,27.8,NA,NA,7.17,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,3,NA,NA,NA,NA,13.42,NA,7.18,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,3,22.3,7.05,86.6,27.8,NA,NA,7.18,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,4,NA,NA,NA,NA,9.11,NA,7.13,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,4,20.4,8.27,96.9,28.4,NA,NA,7.13,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,5,NA,NA,NA,NA,5.91,NA,6.89,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,5,16,7.5,81.4,28.5,NA,NA,6.89,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,6,NA,NA,NA,NA,3.6,NA,6.72,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,6,13.4,6.16,63.7,27.9,NA,NA,6.72,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,7,NA,NA,NA,NA,1.66,NA,6.42,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,7,11.7,4.43,43.2,28.7,NA,NA,6.42,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,8,NA,NA,NA,NA,0.39,NA,6.07,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,8,10,2.66,25.3,29.1,NA,NA,6.07,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,9,NA,NA,NA,NA,0.05,NA,5.93,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,9,9,1.58,14.6,30.4,NA,NA,5.93,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,10,NA,NA,NA,NA,0.01,NA,5.93,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,10,8.1,1.42,12.9,46.2,NA,NA,5.93,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,11,NA,NA,NA,NA,0,NA,6.08,1,1,1,1,0,1,0
BVR,50,6/4/15 12:00,11,7.8,1.31,11.7,61.9,NA,NA,6.08,0,0,0,0,1,1,0
BVR,50,6/4/15 12:00,12,7.6,1.31,11.7,70.9,NA,NA,6.21,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,-0.1,NA,NA,NA,NA,2040,NA,NA,1,1,1,1,0,1,1
BVR,50,6/11/15 12:00,0.1,NA,NA,NA,NA,1600,NA,7.2,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,0.1,24.6,6.83,88.7,28.2,NA,NA,7.2,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,1,NA,NA,NA,NA,600,NA,7.13,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,1,24.5,6.8,87,28.2,NA,NA,7.13,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,2,NA,NA,NA,NA,400,NA,7.13,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,2,24.4,6.36,81.2,28.2,NA,NA,7.13,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,3,NA,NA,NA,NA,250,NA,7.02,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,3,24,6,76.3,28.3,NA,NA,7.02,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,4,NA,NA,NA,NA,130,NA,6.7,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,4,20.4,5.88,69.5,29.8,NA,NA,6.7,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,5,NA,NA,NA,NA,91,NA,6.1,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,5,17.6,5.75,64.3,29.5,NA,NA,6.1,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,6,NA,NA,NA,NA,49,NA,5.87,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,6,13.6,4.44,46.7,29.6,NA,NA,5.87,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,7,NA,NA,NA,NA,18,NA,5.76,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,7,11.9,3.37,33.3,29.8,NA,NA,5.76,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,8,NA,NA,NA,NA,3.5,NA,5.68,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,8,10.4,2,19.1,30.4,NA,NA,5.68,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,9,NA,NA,NA,NA,0.4,NA,5.65,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,9,9.6,1.55,14.5,30.3,NA,NA,5.65,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,10,NA,NA,NA,NA,0.02,NA,5.69,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,10,8.5,1.27,11.6,47.2,NA,NA,5.69,0,0,0,0,1,1,0
BVR,50,6/11/15 12:00,11,NA,NA,NA,NA,0,NA,5.85,1,1,1,1,0,1,0
BVR,50,6/11/15 12:00,11,7.9,1.21,10.8,66.4,NA,NA,5.85,0,0,0,0,1,1,0
BVR,50,6/18/15 12:00,-0.1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
BVR,50,6/18/15 12:00,0.1,NA,NA,NA,NA,1698,NA,6.9,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,1,NA,NA,NA,NA,227.9,NA,6.85,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,2,NA,NA,NA,NA,157.9,NA,6.53,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,3,NA,NA,NA,NA,156.5,NA,6.44,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,4,NA,NA,NA,NA,80.39,NA,6.33,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,5,NA,NA,NA,NA,58.83,NA,6.14,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,6,NA,NA,NA,NA,16.01,NA,6.08,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,7,NA,NA,NA,NA,13.15,NA,5.97,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,8,NA,NA,NA,NA,2.62,NA,5.86,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,9,NA,NA,NA,NA,0.3,NA,5.87,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,10,NA,NA,NA,NA,0.04,NA,6.08,1,1,1,1,0,1,0
BVR,50,6/18/15 12:00,11,NA,NA,NA,NA,0.02,NA,6.19,1,1,1,1,0,1,0
BVR,50,6/18/15 14:05,0.1,29,8.45,NA,28.6,1698,NA,6.9,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,0.1,29,8.45,NA,28.6,1698,NA,6.9,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,1,28.3,7.8,NA,28.6,227.9,NA,6.85,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,1,28.3,7.8,NA,28.6,227.9,NA,6.85,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,2,27.4,8.2,NA,28.5,157.9,NA,6.53,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,2,27.4,8.2,NA,28.5,157.9,NA,6.53,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,3,26.1,8.68,NA,29.1,156.5,NA,6.44,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,3,26.1,8.68,NA,29.1,156.5,NA,6.44,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,4,22.8,8.6,NA,30.3,80.39,NA,6.33,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,4,22.8,8.6,NA,30.3,80.39,NA,6.33,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,5,18.7,7.3,NA,30.2,58.83,NA,6.14,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,5,18.7,7.3,NA,30.2,58.83,NA,6.14,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,6,15.2,5.74,NA,30.4,16.01,NA,6.08,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,6,15.2,5.74,NA,30.4,16.01,NA,6.08,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,7,12.4,3.4,NA,31,13.15,NA,5.97,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,7,12.4,3.4,NA,31,13.15,NA,5.97,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,8,10.5,2.67,NA,31,2.62,NA,5.86,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,8,10.5,2.67,NA,31,2.618,NA,5.86,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,9,9,1.58,NA,35.6,0.3,NA,5.87,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,9,9,1.58,NA,35.6,0.301,NA,5.87,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,10,8.1,1.5,NA,70.3,0.04,NA,6.08,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,10,8.1,1.5,NA,70.3,0.044,NA,6.08,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,11,7.9,1.5,NA,80.2,0.02,NA,6.19,0,0,1,0,0,1,0
BVR,50,6/18/15 14:05,11,7.9,1.5,NA,80.2,0.022,NA,6.19,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,0.1,29.4,7.38,NA,30,1038,NA,7.19,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,0.1,29.4,7.38,NA,30,1038,NA,7.19,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,1,28.8,8.32,NA,28.8,178,NA,7.02,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,1,28.8,8.32,NA,28.8,178,NA,7.02,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,2,27.2,8.24,NA,28.7,83,NA,6.67,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,2,27.2,8.24,NA,28.7,83,NA,6.67,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,3,25.8,9.11,NA,29.6,50,NA,6.54,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,3,25.8,9.11,NA,29.6,50,NA,6.54,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,4,24,10.1,NA,30.2,40,NA,6.52,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,4,24,10.1,NA,30.2,40,NA,6.52,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,5,17.4,6.75,NA,30.7,46,NA,6.23,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,5,17.4,6.75,NA,30.7,46,NA,6.23,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,6,14.6,5.55,NA,30.9,27,NA,6.1,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,6,14.6,5.55,NA,30.9,27,NA,6.1,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,7,12.1,3.78,NA,31,11,NA,6,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,7,12.1,3.78,NA,31,11,NA,6,0,0,1,0,0,1,0
BVR,50,6/18/15 16:33,8,10.7,NA,NA,31,1.5,NA,5.82,0,1,1,0,0,1,0
BVR,50,6/18/15 16:33,8,10.7,NA,NA,31,1.5,NA,5.82,0,1,1,0,0,1,0
BVR,50,6/18/15 16:33,9,9.5,NA,NA,32.5,0.18,NA,5.9,0,1,1,0,0,1,0
BVR,50,6/18/15 16:33,9,9.5,NA,NA,32.5,0.18,NA,5.9,0,1,1,0,0,1,0
BVR,50,6/18/15 16:33,10,8.5,NA,NA,56.3,0.01,NA,5.93,0,1,1,0,0,1,0
BVR,50,6/18/15 16:33,10,8.5,NA,NA,56.3,0.01,NA,5.93,0,1,1,0,0,1,0
BVR,50,6/18/15 16:33,11,8,NA,NA,77.1,0,NA,6.15,0,1,1,0,0,1,0
BVR,50,6/18/15 16:33,11,8,NA,NA,77.1,0,NA,6.15,0,1,1,0,0,1,0
BVR,50,6/18/15 19:05,0.1,28.8,7.75,NA,28.5,51,NA,6.88,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,0.1,28.8,7.75,NA,28.5,51,NA,6.88,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,1,28.7,8.15,NA,28.6,10,NA,6.68,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,1,28.7,8.15,NA,28.6,10,NA,6.68,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,2,28.2,8.15,NA,28.5,8.8,NA,6.64,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,2,28.2,8.15,NA,28.5,8.8,NA,6.64,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,3,26.6,7.38,NA,28.9,6.7,NA,6.54,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,3,26.6,7.38,NA,28.9,6.7,NA,6.54,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,4,23,8.78,NA,30.1,4.7,NA,6.19,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,4,23,8.78,NA,30.1,4.7,NA,6.19,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,5,17.7,6.56,NA,30.4,2.83,NA,5.93,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,5,17.7,6.56,NA,30.4,2.83,NA,5.93,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,6,14.7,5.33,NA,30.5,1.6,NA,5.82,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,6,14.7,5.33,NA,30.5,1.6,NA,5.82,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,7,12.3,3.54,NA,31.1,0.74,NA,5.69,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,7,12.3,3.54,NA,31.1,0.741,NA,5.69,0,0,1,0,0,1,0
BVR,50,6/18/15 19:05,8,10.8,2.7,NA,31,0.19,NA,5.6,0,0,1,0,0,1,0
