DateTime,Depth,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,CAR_dic
2017-10-30,0.1,0.110864745,0.096774194,0.0737064,50.79100749,457.1190674,NA
2017-11-06,0.1,0.332594235,0.048387097,NA,34.97085762,314.7377186,NA
2017-12-11,0.1,1.496674058,0.080645161,0.0737064,36.63613655,329.725229,NA
2018-01-15,0.1,0.44345898,0.096774194,0.0737064,41.63197336,374.6877602,114.2530706
2018-02-19,0.1,0.44345898,0.112903226,0.084235886,29.97502082,269.7751873,83.78558507
2018-04-04,0.1,0.44345898,0.14516129,0.115824343,31.64029975,284.7626978,78.07293154
2018-04-10,0.1,0.609756098,0.064516129,0.126353829,29.97502082,269.7751873,78.07293154
2018-04-23,0.1,0.88691796,0.129032258,0.115824343,31.64029975,284.7626978,74.26449586
2018-04-30,0.1,0.776053215,0.129032258,0.094765371,29.97502082,269.7751873,70.45606017
2018-05-07,0.1,0.388026608,0.048387097,0.115824343,26.64446295,239.8001665,70.45606017
2018-05-14,0.1,0.554323725,0.064516129,0.115824343,28.30974188,254.7876769,74.26449586
2018-05-21,0.1,0.388026608,0.064516129,0.084235886,36.63613655,329.725229,64.74340665
2018-05-28,0.1,2.43902439,0.177419355,0.136883314,37.46877602,337.2189842,59.03075312
2018-06-04,0.1,0.609756098,0.032258065,0.0737064,32.47293922,292.256453,62.8391888
2018-06-11,0.1,0.66518847,0.096774194,0.042117943,32.47293922,292.256453,64.74340665
2018-06-18,0.1,0.776053215,0.048387097,0.094765371,28.30974188,254.7876769,62.8391888
2018-06-25,0.1,0.831485588,0.112903226,0.052647429,31.64029975,284.7626978,62.8391888
2018-07-02,0.1,1.219512195,0.096774194,0.0737064,37.46877602,337.2189842,68.55184233
2018-07-09,0.1,0.720620843,0.096774194,0.063176914,34.97085762,314.7377186,72.36027802
2018-07-16,0.1,1.441241685,0.064516129,0.0737064,34.13821815,307.2439634,83.78558507
2018-07-23,0.1,0.997782705,0.064516129,0.094765371,40.79933389,367.194005,72.36027802
2018-07-30,0.1,0.997782705,0.112903226,0.084235886,45.79517069,412.1565362,74.26449586
2018-08-06,0.1,1.10864745,0.064516129,0.084235886,46.62781016,419.6502914,62.8391888
2018-08-13,0.1,1.662971175,0.064516129,0.105294857,44.12989176,397.1690258,74.26449586
2018-08-20,0.1,1.385809313,0.096774194,0.084235886,44.12989176,397.1690258,78.07293154
2018-08-27,0.1,0.498891353,0.064516129,0.105294857,49.12572856,442.131557,78.07293154
2018-09-10,0.1,0.88691796,0.080645161,0.084235886,41.63197336,374.6877602,79.97714939
2018-09-17,0.1,1.662971175,0.096774194,0.105294857,42.46461282,382.1815154,81.88136723
2018-09-24,0.1,0.332594235,0.048387097,0.115824343,35.80349709,322.2314738,81.88136723
2018-10-01,0.1,0.277161863,NA,NA,44.12989176,397.1690258,79.97714939
2018-10-08,0.1,0.332594235,0.080645161,0.136883314,33.30557868,299.7502082,85.68980291
2018-10-15,0.1,2.2172949,0.387096774,0.157942286,34.97085762,314.7377186,79.97714939
2018-10-22,0.1,1.884700665,0.306451613,0.136883314,36.63613655,329.725229,85.68980291
2018-10-29,0.1,2.106430155,0.274193548,0.157942286,28.30974188,254.7876769,83.78558507
2018-11-19,0.1,1.441241685,0.580645161,0.189530743,31.64029975,284.7626978,74.26449586
2018-12-17,0.1,0.22172949,0.419354839,0.126353829,24.97918401,224.8126561,70.45606017
2019-01-21,0.1,0.332594235,0.048387097,0.021058971,19.98334721,179.8501249,47.60544606
2019-02-08,0.1,0.388026608,0.048387097,0.031588457,12.48959201,112.4063281,51.41388175
2019-03-18,0.1,0.554323725,0.048387097,0.010529486,14.15487094,127.3938385,49.50966391
2019-04-01,0.1,0.498891353,0.064516129,0.010529486,15.82014988,142.3813489,53.31809959
2019-04-15,0.1,0.498891353,0.14516129,0.031588457,40.79933389,367.194005,53.31809959
2019-04-22,0.1,0.776053215,0.096774194,0.042117943,48.29308909,434.6378018,28.56326764
2019-04-29,0.1,0.66518847,0.048387097,0.031588457,25.81182348,232.3064113,45.70122822
2019-05-06,0.1,1.77383592,0.080645161,0.063176914,19.98334721,179.8501249,51.41388175
2019-05-13,0.1,0.332594235,0.048387097,0.042117943,15.82014988,142.3813489,62.8391888
2019-05-20,0.1,0.609756098,0.048387097,0,21.64862614,194.8376353,59.03075312
2019-05-27,0.1,0.388026608,0.048387097,0.021058971,21.64862614,194.8376353,64.74340665
2019-05-30,0.1,0.776053215,0.048387097,0.021058971,33.30557868,299.7502082,43.79701038
2019-06-03,0.1,0,0,0.063176914,24.97918401,224.8126561,60.93497096
2019-06-10,0.1,0.720620843,0.048387097,0.063176914,41.63197336,374.6877602,43.79701038
2019-06-17,0.1,0.22172949,0.048387097,0.031588457,23.31390508,209.8251457,55.22231743
2019-06-24,0.1,0.277161863,0,0.084235886,18.31806828,164.8626145,59.03075312
2019-06-27,0.1,1.33037694,0.048387097,0.105294857,29.14238135,262.2814321,99.01932781
2019-07-01,0.1,0.498891353,0.048387097,0.084235886,27.47710241,247.2939217,60.93497096
2019-07-18,0.1,0.942350333,0.080645161,0.052647429,36.63613655,329.725229,64.74340665
2019-07-22,0.1,0.388026608,0.064516129,0.105294857,45.79517069,412.1565362,62.8391888
2019-07-29,0.1,0.942350333,0,0.094765371,41.63197336,374.6877602,57.12653528
2019-08-05,0.1,0.498891353,0.048387097,0.031588457,54.95420483,494.5878435,53.31809959
2019-08-12,0.1,0.277161863,0.14516129,0.0737064,31.64029975,284.7626978,68.55184233
2019-08-14,0.1,0.388026608,0.048387097,0.0737064,38.30141549,344.7127394,64.74340665
2019-08-22,0.1,0.44345898,0.161290323,0.084235886,41.63197336,374.6877602,60.93497096
2019-08-28,0.1,0.554323725,0.048387097,0.094765371,34.97085762,314.7377186,66.64762449
2019-09-02,0.1,1.10864745,0.048387097,0.0737064,39.96669442,359.7002498,70.45606017
2019-09-11,0.1,0.44345898,0,0.0737064,43.29725229,389.6752706,64.74340665
