time,FLOW
2014-09-11,0.0778
2014-09-12,0.0794
2014-09-13,0.0801
2014-09-14,0.0741
2014-09-15,0.0739
2014-09-16,0.0718
2014-09-17,0.0691
2014-09-18,0.0632
2014-09-19,0.0618
2014-09-20,0.0597
2014-09-21,0.0559
2014-09-22,0.0506
2014-09-23,0.0478
2014-09-24,0.0474
2014-09-25,0.0462
2014-09-26,0.0448
2014-09-27,0.0439
2014-09-28,0.0424
2014-09-29,0.0421
2014-09-30,0.0428
2014-10-01,0.041
2014-10-02,0.0403
2014-10-03,0.041
2014-10-04,0.0407
2014-10-05,0.0385
2014-10-06,0.0371
2014-10-07,0.0432
2014-10-08,0.0508
2014-10-09,0.0455
2014-10-10,0.0439
2014-10-11,0.0446
2014-10-12,0.0547
2014-10-13,0.0565
2014-10-14,0.0615
2014-10-15,0.0961
2014-10-16,0.0773
2014-10-17,0.0703
2014-10-18,0.0668
2014-10-19,0.0654
2014-10-20,0.0627
2014-10-21,0.0561
2014-10-22,0.0542
2014-10-23,0.048
2014-10-24,0.0373
2014-10-25,0.0359
2014-10-26,0.0282
2014-10-27,0.016
2014-10-28,0.0146
2014-10-29,0.0117
2014-10-30,0.0105
2014-10-31,0.0108
2014-11-01,0.0171
2014-11-02,0.0108
2014-11-03,0.0091
2014-11-04,0.0087
2014-11-05,0.0083
2014-11-06,0.0091
2014-11-07,0.0089
2014-11-08,0.0096
2014-11-09,0.0098
2014-11-10,0.0098
2014-11-11,0.0098
2014-11-12,0.0096
2014-11-13,0.0087
2014-11-14,0.0101
2014-11-15,0.0098
2014-11-16,0.0091
2014-11-17,0.0163
2014-11-18,0.0135
2014-11-19,0.0114
2014-11-20,0.0105
2014-11-21,0.0114
2014-11-22,0.0114
2014-11-23,0.0146
2014-11-24,0.0222
2014-11-25,0.014
2014-11-26,0.0391
2014-11-27,0.0268
2014-11-28,0.0199
2014-11-29,0.0162
2014-11-30,0.0139
2014-12-01,0.0126
2014-12-02,0.024
2014-12-03,0.0208
2014-12-04,0.0186
2014-12-05,0.0197
2014-12-06,0.0202
2014-12-07,0.0208
2014-12-08,0.0201
2014-12-09,0.0213
2014-12-10,0.0208
2014-12-11,0.0217
2014-12-12,0.0206
2014-12-13,0.0201
2014-12-14,0.0218
2014-12-15,0.0195
2014-12-16,0.0188
2014-12-17,0.0217
2014-12-18,0.0243
2014-12-19,0.0272
2014-12-20,0.0266
2014-12-21,0.0258
2014-12-22,0.0275
2014-12-23,0.029
2014-12-24,0.0405
2014-12-25,0.04
2014-12-26,0.0373
2014-12-27,0.0359
2014-12-28,0.0346
2014-12-29,0.0382
2014-12-30,0.0568
2014-12-31,0.1615
2015-01-01,0.1604
2015-01-02,0.1579
2015-01-03,0.159
2015-01-04,0.1591
2015-01-05,0.159
2015-01-06,0.1565
2015-01-07,0.1611
2015-01-08,0.1606
2015-01-09,0.1527
2015-01-10,0.1545
2015-01-11,0.1512
2015-01-12,0.1524
2015-01-13,0.151
2015-01-14,0.152
2015-01-15,0.1515
2015-01-16,0.1501
2015-01-17,0.1485
2015-01-18,0.1472
2015-01-19,0.1471
2015-01-20,0.1478
2015-01-21,0.1458
2015-01-22,0.1471
2015-01-23,0.1492
2015-01-24,0.1526
2015-01-25,0.1481
2015-01-26,0.149
2015-01-27,0.1524
2015-01-28,0.1437
2015-01-29,0.1135
2015-01-30,0.1011
2015-01-31,0.0899
2015-02-01,0.0769
2015-02-02,0.0808
2015-02-03,0.0813
2015-02-04,0.0693
2015-02-05,0.0726
2015-02-06,0.0659
2015-02-07,0.0572
2015-02-08,0.0547
2015-02-09,0.0544
2015-02-10,0.0568
2015-02-11,0.0552
2015-02-12,0.0554
2015-02-13,0.0588
2015-02-14,0.0544
2015-02-15,0.076
2015-02-16,0.0673
2015-02-17,0.0764
2015-02-18,0.0584
2015-02-19,0.0627
