"DateTime","Depth","Observed_CAR_ch4","Modeled_CAR_ch4"
2015-09-07,1.6,0.251572313,0.263524223864219
2015-09-07,3.8,0.5444699495,7.13693351582102
2015-09-07,5,42.17437735,6.09525316939677
2015-09-07,6.2,18.05269607,3.03472865537651
2015-09-07,8,9.00063082,3.04310666031911
2015-09-07,9,0.041967072,3.03962620105862
2015-09-14,0.1,3.943022983,0.015231737061651
2015-09-14,1.6,3.1193408525,0.172466063299424
2015-09-14,3.8,2.697560286,3.26707048703632
2015-09-14,5,67.83371385,6.85656788877546
2015-09-14,6.2,4.014804339,3.47622099987573
2015-09-14,8,0.0501964725,3.48626840221831
2015-09-14,9,0.0163516305,3.48214304598146
2015-09-21,0.1,0.3976739875,0.0138380098510668
2015-09-21,1.6,0.487483905,0.233049822956828
2015-09-21,3.8,0.405074889,1.12696635226902
2015-09-21,5,44.141653415,7.03746931803827
2015-09-21,6.2,8.0030688145,4.01136228805286
2015-09-21,8,6.2702663275,4.0233410104654
2015-09-21,9,0.045175721,4.0184255564339
2015-09-28,0.1,0.1693400405,0.00626175720264928
2015-09-28,1.6,0.115418648,0.107636922785385
2015-09-28,3.8,0.1543837835,0.125473453955545
2015-09-28,5,6.057586434,0.218507794046628
2015-09-28,6.2,5.976580455,3.28878401007155
2015-09-28,8,0.02131106,4.49127172127035
2015-09-28,9,0.173824368,4.51808564391059
2015-10-05,0.1,0.161872272,0
2015-10-05,1.6,0.0416168705,0.0952371581080144
2015-10-05,3.8,0.1359168575,0.0881896054212253
2015-10-05,5,0.0443965995,0.0816820439378205
2015-10-05,6.2,0.021979613,0.0818570876830285
2015-10-05,8,0.031108528,1.67077936127568
2015-10-05,9,0.0205336215,3.40346613704165
2015-10-19,0.1,0.1384620185,0.0123075411498089
2015-10-19,1.6,0.1433841405,0.0817456340952049
2015-10-19,3.8,0.147815806,0.0878134264183465
2015-10-19,5,0.1341234165,0.0755749572739607
2015-10-19,6.2,0.1503842795,0.067965047467544
2015-10-19,8,0.0884797165,0.0701337506842836
2015-10-19,9,0.1818437825,0.0697065988247894
2015-11-09,0.1,0.189468094,0
2015-11-09,1.6,0.178646994,0.0466873858969339
2015-11-09,3.8,0.1674262755,0.0414200903831543
2015-11-09,5,0.090108982,0.257162065855438
2015-11-09,6.2,0.1227077985,0.354629178675244
2015-11-09,8,0.075276672,0.283057775647511
2015-11-09,9,0.072751237,0.282657784630658
2015-12-07,0.1,0.097661272,0.0262978615944665
2015-12-07,1.6,0.099759357,0.0412331655519733
2015-12-07,3.8,0.0981088615,0.0409154535572468
2015-12-07,5,0.0968745515,0.0377721453796504
2015-12-07,6.2,0.098324515,0.144058155787092
2015-12-07,8,0.1015020625,0.398202828734231
2015-12-07,9,0.098417404,0.398057389730272
2016-01-11,0.1,0.1060550985,0
2016-01-11,1.6,0.099794782,0.0131124591425478
2016-01-11,3.8,0.108137491,0.0130937330724065
2016-01-11,5,0.1062036935,0.012223857910562
2016-01-11,6.2,0.106245394,0.0115262720255406
2016-01-11,8,0.106449029,0.0131405555303328
2016-01-11,9,0.1061506055,0.013073991077314
2016-02-05,0.1,0.2776935795,0
2016-02-05,1.6,0.252695276,0.0157989031133734
2016-02-05,3.8,0.2700323705,0.0148094571036325
2016-02-05,5,0.241342556,0.0134403187679593
2016-02-05,6.2,0.3524966025,0.0143071240355231
2016-02-05,8,0.308416243,0.014737651254347
2016-02-05,9,0.315537706,0.0146285791054125
2016-03-30,0.1,0.137931704,0
2016-03-30,1.6,0.126009071666667,0.0241549098056507
2016-03-30,3.8,0.191246271,0.160553064889677
2016-03-30,5,0.1564658195,0.499442312617665
2016-03-30,6.2,0.1238319825,0.449386108074039
2016-03-30,8,0.109475724666667,0.426827901863493
2016-03-30,9,0.0778490645,0.426665454659068
2016-04-11,0.1,0.0815978425,0.00489262755505487
2016-04-11,1.6,0.0754731423333333,0.0308635998730732
2016-04-11,3.8,0.0973283065,0.0348371854323197
2016-04-11,5,0.105828079,0.0343675157882029
2016-04-11,6.2,0.1021490715,0.0309107476081497
2016-04-11,8,0.057602998,0.0359495930260521
2016-04-11,9,0.081850887,0.0357850972820836
2016-04-18,0.1,0.1639796285,0.0122040657439279
2016-04-18,1.6,0.1737294245,0.0320912555005537
2016-04-18,3.8,0.191472152,0.590892839507819
2016-04-18,5,0.165881033,0.443068759895856
2016-04-18,6.2,0.126667783,0.155570515415058
2016-04-18,8,0.077399047,0.114252785189277
2016-04-18,9,0.053614134,0.114121398340919
2016-04-25,0.1,0.0705599545,0.0120517920676976
2016-04-25,1.6,0.0603342385,0.0835864225747878
2016-04-25,3.8,0.091976537,1.33513617894183
2016-04-25,5,0.084559826,0.668666491713539
2016-04-25,6.2,0.056961604,0.668668062358144
2016-04-25,8,0.0405344155,0.669070954490741
2016-04-25,9,0.028847358,0.668913421899983
2016-05-02,0.1,0.1519649045,0.00457753877347125
2016-05-02,1.6,0.176533802,0.117501018447846
2016-05-02,3.8,0.1714229495,2.59546268589119
2016-05-02,5,0.1148120165,1.13369138466835
2016-05-02,6.2,0.055137847,1.13368879693222
2016-05-02,8,0.0365378565,1.13412704740435
2016-05-02,9,0.033236464,1.13395116632539
2016-05-09,0.1,0.220768204,0.00384251417125576
2016-05-09,1.6,0.2419347865,0.0383499249982254
2016-05-09,3.8,0.1245591375,2.96469996664733
2016-05-09,5,0.103844961,2.04041292026027
2016-05-09,6.2,0.059322864,1.43414042348477
2016-05-09,8,0.0581819635,1.43462518467371
2016-05-09,9,0.058904825,1.43444039485853
2016-05-16,0.1,0.2479069025,0
2016-05-16,1.6,0.2526445165,0.0527173834517507
2016-05-16,3.8,0.223649503,1.09162960447205
2016-05-16,5,0.0848130795,3.12581847685584
2016-05-16,6.2,0.0537176695,1.45784757600119
2016-05-16,8,0.0594014845,1.45835516826777
2016-05-16,9,0.0564121635,1.45816248565272
