DateTime,Ksed_oxy,Rdom_minerl,Rdomr_minerl,Rcpom_bdown,Fsed_oxy,Fsed_oxy.1,RMSE
6/8/20 14:45,13.47201789,0.014997142,0.05023536,0.05449102,-43.00054891,-21.11231061,74.70463386
6/8/20 14:09,10.77986763,0.004332842,0.074289923,0.07504878,-38.34196675,-15.51565302,74.7168468
6/8/20 14:51,13.61125478,0.020390711,0.05030958,0.056958299,-45.95142807,-21.42163427,74.72386245
6/8/20 15:09,13.53583584,0.019411995,0.053525972,0.054000523,-44.94890704,-21.32831547,74.74713946
6/8/20 14:49,13.58806167,0.020571082,0.051029159,0.053955346,-45.31236233,-22.38482499,74.74829576
6/8/20 14:44,12.79671239,0.01853181,0.052891862,0.059250911,-45.76635394,-20.36862136,74.75906853
6/8/20 14:40,13.640468,0.019745863,0.052304546,0.055714149,-45.96302988,-22.58508386,74.79836387
6/8/20 14:28,12.56673282,0.015198329,0.062909497,0.061677178,-45.49666542,-22.29467755,74.79890483
6/8/20 14:19,12.75054157,0.017384315,0.065991256,0.062728509,-43.47177935,-21.42618142,74.81391108
6/8/20 14:38,12.87449101,0.020122676,0.048608781,0.055438815,-45.49051615,-22.3831393,74.82078044
6/8/20 14:52,13.42751739,0.019800717,0.056216264,0.054537963,-45.8422143,-21.63301727,74.84078493
6/8/20 14:44,13.04652389,0.018568542,0.05532485,0.059978912,-43.09886579,-19.42537452,74.86579322
6/8/20 14:58,13.38332127,0.019154998,0.052575661,0.051432999,-44.53425603,-22.04785611,74.89631536
6/8/20 15:09,13.63587409,0.019096861,0.053036231,0.055611631,-44.99164077,-22.03401305,74.90403348
6/8/20 14:43,12.96074765,0.017096963,0.058652037,0.059082822,-44.95961148,-18.97114406,74.91262332
6/8/20 14:55,12.92315329,0.018924564,0.056392509,0.054882931,-45.55649013,-20.19576871,74.95210845
6/8/20 14:50,13.32410518,0.016988546,0.055523857,0.055126726,-45.65067116,-21.05736784,74.9779181
6/8/20 14:57,13.63180297,0.017104743,0.053727768,0.053247875,-45.58801029,-21.58073357,74.98399751
6/8/20 15:02,13.63539314,0.017346987,0.053545142,0.054262901,-44.5929089,-21.56031426,75.01989256
6/8/20 15:07,13.59200106,0.020869624,0.052435185,0.053972464,-45.20784577,-21.96132434,75.02951883
6/8/20 14:48,13.76564797,0.018854523,0.049034528,0.059673266,-45.42841844,-21.08347455,75.03191038
6/8/20 14:58,13.12465951,0.017702391,0.055085306,0.04983435,-43.25774242,-21.70618505,75.0394268
