"DateTime","Depth","Observed_OXY_oxy","Modeled_OXY_oxy"
2015-09-07,3,212.1621875,265.347980351383
2015-09-07,4,6.81875,1.31460345124096
2015-09-07,5,3.8303125,11.5187554597067
2015-09-07,6,204.01625,37.6627553198397
2015-09-07,7,303.88875,37.5620911689155
2015-09-07,8,305.9290625,37.3682246979796
2015-09-07,9,304.86625,37.4783061994469
2015-09-07,9.2,304.2053125,37.4783061994469
2015-09-14,0.1,208.6128125,268.214310155367
2015-09-14,1,206.4825,267.55331830268
2015-09-14,2,201.983125,266.671085517054
2015-09-14,3,195.4559375,266.415696381792
2015-09-14,4,169.3734375,84.7007780206558
2015-09-14,5,7.240625,9.75008147030487
2015-09-14,6,158.3484375,30.1701500135277
2015-09-14,7,311.4353125,30.0714129417952
2015-09-14,8,314.9984375,29.8916003753782
2015-09-14,9,313.37875,29.9941623008716
2015-09-14,9.2,312.9003125,29.9941623008716
2015-09-21,0.1,211.184375,288.483123228875
2015-09-21,1,228.6909375,288.648763393732
2015-09-21,2,229.5534375,288.564326438566
2015-09-21,3,231.0315625,273.807249346463
2015-09-21,4,101.664375,158.901316168842
2015-09-21,5,4.130625,8.95529134483502
2015-09-21,6,22.9109375,24.4053386682827
2015-09-21,7,310.2096875,24.3123574564287
2015-09-21,8,312.6584375,24.1433013264119
2015-09-21,9,312.7446875,24.2397405874771
2015-09-21,9.2,311.924375,24.2397405874771
2015-09-28,0.1,246.613125,288.818628585751
2015-09-28,1,220.639375,287.441294634855
2015-09-28,2,181.714375,286.793103094058
2015-09-28,3,197.7803125,286.607629005229
2015-09-28,4,180.5178125,285.918147205409
2015-09-28,5,131.296875,277.945657187073
2015-09-28,6,5.739375,103.219001934676
2015-09-28,7,296.0053125,20.5574800389114
2015-09-28,8,302.3778125,39.1886858430633
2015-09-28,9,302.260625,39.2908991287015
2015-09-28,9.2,301.1534375,39.2908991287015
2015-10-05,0.1,213.5771875,307.308389967976
2015-10-05,1,213.5540625,306.010599914472
2015-10-05,2,211.6275,305.516101460352
2015-10-05,3,210.0740625,305.195424957275
2015-10-05,4,208.700625,305.097632349335
2015-10-05,5,204.266875,304.926047338522
2015-10-05,6,202.0471875,304.879474242697
2015-10-05,7,193.8053125,304.421655755286
2015-10-05,8,189.1334375,259.517743167954
2015-10-05,9,186.1553125,216.795021716795
2015-10-05,9.2,185.705,216.795021716795
2015-10-19,0.1,177.3515625,313.368574834408
2015-10-19,1,207.076875,312.504503658666
2015-10-19,2,215.1709375,311.947629746652
2015-10-19,3,223.15375,311.739919568906
2015-10-19,4,224.6790625,311.590918540412
2015-10-19,5,227.4384375,311.276955144636
2015-10-19,6,229.9196875,311.025837700829
2015-10-19,7,229.9875,310.737745464739
2015-10-19,8,228.146875,310.343163270011
2015-10-19,9,228.21,310.470232460652
2015-10-19,9.2,228.82,310.470232460652
2015-10-23,0.1,223.9878125,318.279421295596
2015-10-23,1,261.6434375,317.843037969761
2015-10-23,2,258.79875,317.274498706956
2015-10-23,3,250.094375,316.877981043021
2015-10-23,4,241.7559375,315.760178893698
2015-10-23,5,239.2025,310.847036727845
2015-10-23,6,241.265,307.529939435708
2015-10-23,7,241.6878125,307.327126844145
2015-10-23,8,241.09375,307.199151816987
2015-10-23,9,240.424375,307.276176265381
2015-10-23,9.2,240.079375,307.276176265381
2015-12-07,0.1,317.7671875,342.445461138268
2015-12-07,1,318.1328125,342.297292576548
2015-12-07,2,318.015,342.1803774949
2015-12-07,3,318.0290625,342.141072841268
2015-12-07,4,317.0459375,341.943187785369
2015-12-07,5,316.34,341.730148299579
2015-12-07,6,315.1584375,342.902356920408
2015-12-07,7,314.6021875,346.071568210761
2015-12-07,8,313.7940625,345.929992960763
2015-12-07,9,313.3884375,346.011184264677
2015-12-07,9.2,313.1928125,346.011184264677
2016-02-05,0.1,390.625,381.028354399388
2016-02-05,1,414.375,381.197946090459
2016-02-05,2,427.1875,381.306918186201
2016-02-05,3,441.875,381.329996561948
2016-02-05,4,451.875,381.376058261271
2016-02-05,5,464.6875,381.31418817682
2016-02-05,6,462.8125,381.097434902496
2016-02-05,8,450.9375,375.525648309583
2016-02-05,9,393.75,375.608301778249
2016-02-05,9.2,393.75,375.608301778249
2016-03-30,0.1,281.25,329.654074931496
2016-03-30,1,275.625,329.296972954849
2016-03-30,2,278.75,329.03346012826
2016-03-30,3,267.5,329.028569853867
2016-03-30,4,290.3125,328.395019358626
2016-03-30,5,283.125,327.609425389448
2016-03-30,6,267.5,311.444405911902
2016-03-30,8,213.125,265.618605970724
2016-03-30,9,220,265.702944047642
2016-03-30,9.2,220,265.702944047642
2016-04-04,0.1,279.6875,341.403515267796
2016-04-04,1,254.0625,338.889402359216
2016-04-04,2,260,338.639486369676
2016-04-04,3,254.375,338.577780931615
2016-04-04,4,262.1875,338.178578084565
2016-04-04,5,278.125,337.866779530784
2016-04-04,6,249.375,337.75377205885
2016-04-04,7,213.75,331.026797445094
2016-04-04,8,181.5625,250.659262504492
2016-04-04,9,191.5625,250.752193373771
2016-04-04,9.2,186.25,250.752193373771
2016-04-06,0.1,295.3125,342.443284645682
2016-04-06,1,295.9375,341.633360280648
2016-04-06,2,298.4375,341.216308816395
2016-04-06,3,290.625,340.972619633996
2016-04-06,4,285.3125,340.36920951101
2016-04-06,5,290.625,337.864722435632
2016-04-06,6,265.625,334.709825797472
2016-04-06,7,211.25,320.593284575287
2016-04-06,8,212.1875,268.686964956914
2016-04-06,9,174.375,268.778199075919
2016-04-06,9.2,179.0625,268.778199075919
2016-04-11,0.1,331.25,361.783592716394
2016-04-11,1,325,361.513769259064
2016-04-11,2,325,361.339922425074
2016-04-11,3,315.625,360.910408053291
2016-04-11,4,303.125,360.792628043149
2016-04-11,5,293.75,360.540369841275
2016-04-11,6,287.5,360.2736647977
2016-04-11,7,240.625,359.809651698022
2016-04-11,8,231.25,359.292836567069
2016-04-11,9,225,359.398498749327
2016-04-11,9.2,225,359.398498749327
2016-04-18,0.1,300.625,335.308788720402
2016-04-18,1,301.25,335.319382401539
2016-04-18,2,302.5,335.605227420963
2016-04-18,3,321.5625,337.362849404875
2016-04-18,4,324.0625,345.588999299264
2016-04-18,5,303.125,341.708433683863
2016-04-18,6,270.3125,340.154514674233
2016-04-18,7,194.375,340.895077995497
2016-04-18,8,165,343.494134773402
2016-04-18,9,116.5625,343.571294592932
2016-04-18,9.2,123.125,343.571294592932
2016-04-20,0.1,288.4375,323.865022149937
2016-04-20,1,297.5,326.028128224972
2016-04-20,2,303.75,329.049857255059
2016-04-20,3,325.625,330.550524857268
2016-04-20,4,325.625,341.631919365879
2016-04-20,5,310.625,339.054173897609
2016-04-20,6,264.6875,339.060239412782
2016-04-20,7,217.5,338.980687049163
2016-04-20,8,217.5,338.823782648576
2016-04-20,9,217.1875,338.912681028471
2016-04-20,9.2,214.375,338.912681028471
2016-04-25,0.1,292.5,306.48331767351
