"DateTime","Depth","TOT_tn"
2014-11-20,8,9.98414231439001
2014-11-20,9,9.98414231439001
2014-11-21,0.1,9.56016729718124
2014-11-21,0.8,9.57994001361942
2014-11-21,1.6,9.57982495572219
2014-11-21,2.8,9.57546356137697
2014-11-21,3.8,9.57261412718437
2014-11-21,5,9.57142257660144
2014-11-21,6.2,9.57130701400409
2014-11-21,8,9.57105691083287
2014-11-21,9,9.57114410726723
2014-11-22,0.1,9.54253501850843
2014-11-22,0.8,9.54815268876281
2014-11-22,1.6,9.54792113626298
2014-11-22,2.8,9.53229571932139
2014-11-22,3.8,9.38146523451
2014-11-22,5,7.33576684888675
2014-11-22,6.2,7.2414505131791
2014-11-22,8,7.241204791401
2014-11-22,9,7.24129144600284
2014-11-23,0.1,9.19099433821849
2014-11-23,0.8,9.19363968975215
2014-11-23,1.6,9.19777945099065
2014-11-23,2.8,9.19472672529895
2014-11-23,3.8,9.19202048894605
2014-11-23,5,9.19148899750201
2014-11-23,6.2,9.19205757423576
2014-11-23,8,9.19178267825442
2014-11-23,9,9.1918672941187
2014-11-24,0.1,9.1033265371301
2014-11-24,0.8,9.11030082586078
2014-11-24,1.6,9.11390190282723
2014-11-24,2.8,9.1104377166496
2014-11-24,3.8,9.10725993635354
2014-11-24,5,9.10549679751483
2014-11-24,6.2,9.10696018714122
2014-11-24,8,9.10666309064907
2014-11-24,9,9.10676835581795
2014-11-25,0.1,9.06833329251937
2014-11-25,0.8,9.07623832142387
2014-11-25,1.6,9.07905354231165
2014-11-25,2.8,9.07528043845833
2014-11-25,3.8,9.07155476022223
2014-11-25,5,9.07024870605677
2014-11-25,6.2,9.07084512873996
2014-11-25,8,9.07095324294213
2014-11-25,9,9.07101630212743
2014-11-26,0.1,8.92972909929093
2014-11-26,0.8,8.94987866483234
2014-11-26,1.6,8.94763745994623
2014-11-26,2.8,8.94374821447013
2014-11-26,3.8,8.94123110291861
2014-11-26,5,8.94079765028206
2014-11-26,6.2,8.94036419764551
2014-11-26,8,8.94019309765685
2014-11-26,9,8.94019309765685
2014-11-27,0.1,8.58697849426431
2014-11-27,0.8,8.59231067889913
2014-11-27,1.6,8.59657565885274
2014-11-27,2.8,8.59317803547953
2014-11-27,3.8,8.59027703658072
2014-11-27,5,8.58899468877864
2014-11-27,6.2,8.58933919096483
2014-11-27,8,8.59004998239424
2014-11-27,9,8.59010555373004
2014-11-28,0.1,8.53876269959716
2014-11-28,0.8,8.54450883658141
2014-11-28,1.6,8.54891627969526
2014-11-28,2.8,8.54679738778238
2014-11-28,3.8,8.54392358152339
2014-11-28,5,8.54211045297502
2014-11-28,6.2,8.54183865817727
2014-11-28,8,8.5415812936479
2014-11-28,9,8.54164901763125
2014-11-29,0.1,8.51639357065145
2014-11-29,0.8,8.51938407843116
2014-11-29,1.6,8.524439399098
2014-11-29,2.8,8.52161352697933
2014-11-29,3.8,8.51846723112198
2014-11-29,5,8.51759092452871
2014-11-29,6.2,8.51856450559772
2014-11-29,8,8.51833359656522
2014-11-29,9,8.51841362680898
2014-11-30,0.1,8.49302451703768
2014-11-30,0.8,8.5022657779642
2014-11-30,1.6,8.50395694180639
2014-11-30,2.8,8.50150053367452
2014-11-30,3.8,8.49897487999115
2014-11-30,5,8.49752578499679
2014-11-30,6.2,8.49821412858446
2014-11-30,8,8.49790199709751
2014-11-30,9,8.49800705331423
2014-12-01,0.1,8.47400660676819
2014-12-01,0.8,8.48581735895311
2014-12-01,1.6,8.48993082038837
2014-12-01,2.8,8.48660055401336
2014-12-01,3.8,8.48243340223374
2014-12-01,5,8.48383221133071
2014-12-01,6.2,8.48347539906618
2014-12-01,8,8.48323266814664
2014-12-01,9,8.48328724748634
2014-12-02,0.1,8.41541057949281
2014-12-02,0.8,8.42758357626607
2014-12-02,1.6,8.42778717489065
2014-12-02,2.8,8.42445983504039
2014-12-02,3.8,8.42100748183891
2014-12-02,5,8.42008613092891
2014-12-02,6.2,8.41931119564507
2014-12-02,8,8.41335375384634
2014-12-02,9,8.41344284039049
2014-12-03,0.1,8.38387340020011
2014-12-03,0.8,8.39118906417825
2014-12-03,1.6,8.39378422835089
2014-12-03,2.8,8.39040758368019
2014-12-03,3.8,8.38659495902015
2014-12-03,5,8.38586052837696
2014-12-03,6.2,8.38814024242608
2014-12-03,8,8.38936536148133
2014-12-03,9,8.38941328458118
2014-12-04,0.1,8.37146079504798
2014-12-04,0.8,8.37941118550591
2014-12-04,1.6,8.38634939769913
2014-12-04,2.8,8.3831969745382
2014-12-04,3.8,8.37817880301709
2014-12-04,5,8.37639294403883
2014-12-04,6.2,8.2643569789496
2014-12-04,8,7.67224902080149
2014-12-04,9,7.67231007141642
2014-12-05,0.1,8.34614478288672
2014-12-05,0.8,8.35873085209307
2014-12-05,1.6,8.35799686568074
2014-12-05,2.8,8.35415162115851
2014-12-05,3.8,8.35110022016658
2014-12-05,5,8.35026077090033
2014-12-05,6.2,7.92009369307271
2014-12-05,8,7.7075331773038
2014-12-05,9,7.70759200269994
2014-12-06,0.1,8.30885930286391
2014-12-06,0.8,8.31771639961629
2014-12-06,1.6,8.32036836613447
2014-12-06,2.8,8.31667809872393
2014-12-06,3.8,8.3133708572713
2014-12-06,5,8.3087746739147
2014-12-06,6.2,8.20954271010599
2014-12-06,8,8.04922140783321
2014-12-06,9,8.04926702622634
2014-12-07,0.1,8.27091666329157
2014-12-07,0.8,8.2846003348339
2014-12-07,1.6,8.2853144857931
2014-12-07,2.8,8.28277067145156
2014-12-07,3.8,8.27888899806693
2014-12-07,5,8.27643394712091
2014-12-07,6.2,8.276085783622
2014-12-07,8,8.2777135192324
2014-12-07,9,8.27778522714643
2014-12-08,0.1,8.25876921462477
2014-12-08,0.8,8.26238165923576
2014-12-08,1.6,8.26725869643605
2014-12-08,2.8,8.26463277174629
2014-12-08,3.8,8.26155095890236
2014-12-08,5,8.25946154302264
2014-12-08,6.2,8.25923744628506
2014-12-08,8,8.25901734391281
2014-12-08,9,8.25906581604916
2014-12-09,0.1,8.23663779997499
2014-12-09,0.8,8.24409144028268
2014-12-09,1.6,8.24671733009454
2014-12-09,2.8,8.24390826900213
2014-12-09,3.8,8.24012802242127
2014-12-09,5,8.23919355444689
2014-12-09,6.2,8.24008201428156
2014-12-09,8,8.23982500823567
2014-12-09,9,8.23989637510868
2014-12-10,0.1,8.21084095530233
2014-12-10,0.8,8.22848001812796
2014-12-10,1.6,8.22845818989368
2014-12-10,2.8,8.2254672155635
2014-12-10,3.8,8.22235639742672
2014-12-10,5,8.22007049509886
2014-12-10,6.2,8.21973822104437
2014-12-10,8,8.21948187623373
2014-12-10,9,8.21955276721091
2014-12-11,0.1,8.19366444306929
2014-12-11,0.8,8.21035078387753
2014-12-11,1.6,8.21032925071981
2014-12-11,2.8,8.2078349424479
2014-12-11,3.8,8.20493375028332
2014-12-11,5,8.20261721313623
2014-12-11,6.2,8.20227768702853
2014-12-11,8,8.20202181041159
2014-12-11,9,8.2020918902322
2014-12-12,0.1,8.17573147748509
2014-12-12,0.8,8.19130052284616
2014-12-12,1.6,8.19127930463326
2014-12-12,2.8,8.1889406559849
2014-12-12,3.8,8.18631522029705
2014-12-12,5,8.18428265092761
2014-12-12,6.2,8.18398637425521
2014-12-12,8,8.18374075678124
2014-12-12,9,8.18381046591584
2014-12-13,0.1,8.16400254893977
2014-12-13,0.8,8.17013968831237
2014-12-13,1.6,8.17213763235819
2014-12-13,2.8,8.17001278445556
2014-12-13,3.8,8.16727013841145
2014-12-13,5,8.1657850422393
2014-12-13,6.2,8.16610595288718
2014-12-13,8,8.16600280696182
2014-12-13,9,8.16603829053267
2014-12-14,0.1,8.14786156813418
2014-12-14,0.8,8.15091542478588
2014-12-14,1.6,8.15458835985998
2014-12-14,2.8,8.15263767658279
2014-12-14,3.8,8.15017357787785
2014-12-14,5,8.1483547628616
2014-12-14,6.2,8.14820523776539
2014-12-14,8,8.14915880596509
2014-12-14,9,8.14919615970346
2014-12-15,0.1,8.11937474669906
2014-12-15,0.8,8.13528164824685
2014-12-15,1.6,8.14298025699295
2014-12-15,2.8,8.13796596591642
2014-12-15,3.8,8.13225378020729
2014-12-15,5,8.13171315400558
2014-12-15,6.2,8.13392357954976
2014-12-15,8,8.13368389550925
2014-12-15,9,8.13375147237889
2014-12-16,0.1,8.1138473144973
2014-12-16,0.8,8.11866547272375
2014-12-16,1.6,8.12034806364194
2014-12-16,2.8,8.11706718387992
2014-12-16,3.8,8.11511471921808
2014-12-16,5,8.11484405593334
2014-12-16,6.2,8.11542981615449
2014-12-16,8,8.11590377998559
2014-12-16,9,8.11595860407107
2014-12-17,0.1,8.09898694952783
2014-12-17,0.8,8.10242178780039
2014-12-17,1.6,8.10584286825759
2014-12-17,2.8,8.10360749842213
2014-12-17,3.8,8.1004521704528
2014-12-17,5,8.09878515686162
2014-12-17,6.2,8.09903248235205
2014-12-17,8,8.09897781863753
2014-12-17,9,8.09901400862771
2014-12-18,0.1,8.08397548376107
2014-12-18,0.8,8.09038948401621
2014-12-18,1.6,8.09267074229462
2014-12-18,2.8,8.09112690230713
2014-12-18,3.8,8.08627817424278
2014-12-18,5,8.0854322489513
2014-12-18,6.2,8.08622309426725
2014-12-18,8,8.08598781710006
2014-12-18,9,8.08605374931792
2014-12-19,0.1,8.06958072088551
2014-12-19,0.8,8.07382196851593
2014-12-19,1.6,8.07716726854602
2014-12-19,2.8,8.07476854144306
2014-12-19,3.8,8.0717454477111
2014-12-19,5,8.0702051341144
2014-12-19,6.2,8.07022656482739
2014-12-19,8,8.06999453515328
2014-12-19,9,8.07006027536024
2014-12-20,0.1,7.78812771038666
2014-12-20,0.8,7.80225560672554
2014-12-20,1.6,7.8008859074307
2014-12-20,2.8,7.79836246245339
2014-12-20,3.8,7.79626264036348
2014-12-20,5,7.79559309067102
2014-12-20,6.2,7.79548364008418
2014-12-20,8,7.79528261649964
2014-12-20,9,7.79534846491346
2014-12-21,0.1,7.54637857242272
2014-12-21,0.8,7.56172612894739
2014-12-21,1.6,7.57060616336668
2014-12-21,2.8,7.5674276967811
2014-12-21,3.8,7.56461936096752
2014-12-21,5,7.562668531145
2014-12-21,6.2,7.56186888147867
2014-12-21,8,7.56150992386122
2014-12-21,9,7.5615354261066
2014-12-22,0.1,7.53485369723334
2014-12-22,0.8,7.54890227053181
2014-12-22,1.6,7.5484416021292
2014-12-22,2.8,7.54610020618809
2014-12-22,3.8,7.544168820486
2014-12-22,5,7.54292826773069
2014-12-22,6.2,7.54268296065818
2014-12-22,8,7.54244706582336
2014-12-22,9,7.54250855259809
2014-12-23,0.1,7.32569970268544
2014-12-23,0.8,7.33061617373132
2014-12-23,1.6,7.33847562666892
2014-12-23,2.8,7.33727369413971
2014-12-23,3.8,7.33442195829025
2014-12-23,5,7.33210039828098
2014-12-23,6.2,7.14961918926944
2014-12-23,8,7.15505728105352
2014-12-23,9,7.15509233959197
2014-12-24,0.1,7.26160679702394
2014-12-24,0.8,7.26490291561266
2014-12-24,1.6,7.26802028063299
2014-12-24,2.8,7.2665427634818
2014-12-24,3.8,7.26473823499519
2014-12-24,5,7.25765634713967
2014-12-24,6.2,7.2538099056514
2014-12-24,8,7.21813659293694
2014-12-24,9,7.21816452085855
2014-12-25,0.1,7.22182978243048
2014-12-25,0.8,7.23653970294255
2014-12-25,1.6,7.23652092611034
2014-12-25,2.8,7.23581654563332
2014-12-25,3.8,7.23421220412078
2014-12-25,5,7.23169941634107
2014-12-25,6.2,7.230611915555
2014-12-25,8,7.23013266081256
2014-12-25,9,7.23017367442521
2014-12-26,0.1,7.22340254186035
2014-12-26,0.8,7.23208465292533
2014-12-26,1.6,7.23338906938582
2014-12-26,2.8,7.23316578406242
2014-12-26,3.8,7.23144597228239
2014-12-26,5,7.22923682137574
2014-12-26,6.2,7.22767004406139
2014-12-26,8,6.09183358712643
2014-12-26,9,6.09184561839675
2014-12-27,0.1,7.22173431593867
2014-12-27,0.8,7.22670526252034
2014-12-27,1.6,7.22977602930866
2014-12-27,2.8,7.22924477177381
2014-12-27,3.8,7.22811251362748
2014-12-27,5,7.22564692769831
2014-12-27,6.2,7.02487210712618
2014-12-27,8,6.10736123019641
2014-12-27,9,6.1073753482129
2014-12-28,0.1,7.21637730037868
2014-12-28,0.8,7.2218916940916
2014-12-28,1.6,7.22455481947141
2014-12-28,2.8,7.22188241764345
2014-12-28,3.8,7.21972787217214
2014-12-28,5,6.94244845350947
2014-12-28,6.2,6.86751621929979
2014-12-28,8,6.72318542079163
2014-12-28,9,6.72322842935912
2014-12-29,0.1,7.19630439218393
2014-12-29,0.8,7.19750588398701
2014-12-29,1.6,7.20065501750647
2014-12-29,2.8,7.19847117284864
2014-12-29,3.8,7.19620995995862
2014-12-29,5,6.8680638382683
2014-12-29,6.2,6.87159933080952
