Reservoir,Site,DateTime,Depth_m,DRSI_mgL,Flag_DRSI
CCR,50,2014-09-05 12:00:00,19,4.380344,0
CCR,50,2014-09-19 12:00:00,0.1,0.797928,0
CCR,50,2014-09-19 12:00:00,6,0.841616,0
CCR,50,2014-09-19 12:00:00,18,2.632824,0
CCR,50,2014-10-03 12:00:00,0.1,1.19112,0
CCR,50,2014-10-03 12:00:00,6,0.885304,0
CCR,50,2014-10-03 12:00:00,19,5.428856,0
CCR,50,2014-10-24 12:00:00,0.1,1.365872,0
CCR,50,2014-10-24 12:00:00,6,1.365872,0
CCR,50,2014-10-24 12:00:00,20,5.55992,0
CLY,50,2014-04-28 12:00:00,0.1,6.439376,0
CLY,50,2014-04-28 12:00:00,5,6.925396,0
CLY,50,2014-06-18 12:00:00,0.1,6.822342,0
CLY,50,2014-06-18 12:00:00,6,6.672084,0
CLY,50,2014-06-18 12:00:00,30,7.47346,0
CLY,50,2014-07-09 12:00:00,0.1,4.818902,0
CLY,50,2014-07-09 12:00:00,7,4.618558,0
CLY,50,2014-08-13 12:00:00,0.1,3.360716,0
CLY,50,2014-08-13 12:00:00,7,3.317267,0
CLY,50,2014-08-13 12:00:00,34,6.040488,0
FCR,50,2014-04-21 12:00:00,0.1,8.006448,0
FCR,50,2014-04-21 12:00:00,9,3.577961,0
FCR,50,2014-04-23 12:00:00,9,11.529128,0
FCR,50,2014-04-28 12:00:00,0.1,6.966983,0
FCR,50,2014-04-28 12:00:00,9,5.385168,0
FCR,50,2014-05-05 12:00:00,0.1,6.171224,0
FCR,50,2014-05-05 12:00:00,5,4.4683,0
FCR,50,2014-05-05 12:00:00,9,5.613142,0
FCR,50,2014-05-12 12:00:00,0.1,3.516666,0
FCR,50,2014-05-12 12:00:00,9,3.616838,0
FCR,50,2014-05-19 12:00:00,0.1,11.105168,0
FCR,50,2014-05-19 12:00:00,5,5.870708,0
FCR,50,2014-05-19 12:00:00,9,3.183042,0
FCR,50,2014-05-26 12:00:00,0.1,13.875482,0
FCR,50,2014-05-26 12:00:00,5,4.067612,0
FCR,50,2014-05-26 12:00:00,9,5.613142,0
FCR,50,2014-06-02 12:00:00,0.1,5.019246,0
FCR,50,2014-06-02 12:00:00,9,4.868988,0
FCR,50,2014-06-09 12:00:00,0.1,6.9726,0
FCR,50,2014-06-09 12:00:00,5,4.424032,0
FCR,50,2014-06-09 12:00:00,9,4.017526,0
FCR,50,2014-06-16 12:00:00,0.1,7.924234,0
FCR,50,2014-06-16 12:00:00,9,3.767096,0
FCR,50,2014-06-23 12:00:00,0.1,7.824062,0
FCR,50,2014-06-23 12:00:00,9,5.169504,0
FCR,50,2014-06-29 12:00:00,0.1,8.443328,0
FCR,50,2014-06-29 12:00:00,5,12.418936,0
FCR,50,2014-06-29 12:00:00,9,8.137512,0
FCR,50,2014-06-30 12:00:00,0.1,9.92872,0
FCR,50,2014-06-30 12:00:00,5,8.1812,0
FCR,50,2014-06-30 12:00:00,9,5.865736,0
FCR,50,2014-07-07 12:00:00,0.1,7.089,0
FCR,50,2014-07-07 12:00:00,5,7.438504,0
FCR,50,2014-07-07 12:00:00,9,9.885032,0
FCR,50,2014-07-14 12:00:00,0.1,7.74432,0
FCR,50,2014-07-14 12:00:00,5,7.220064,0
FCR,50,2014-07-14 12:00:00,9,5.472544,0
FCR,50,2014-07-21 12:00:00,0.1,8.61808,0
FCR,50,2014-07-21 12:00:00,5,4.24928,0
FCR,50,2014-07-21 12:00:00,9,4.991976,0
FCR,50,2014-07-28 12:00:00,0.1,4.03084,0
FCR,50,2014-07-28 12:00:00,5,1.977504,0
FCR,50,2014-07-28 12:00:00,9,3.987152,0
FCR,50,2014-08-04 12:00:00,0.1,4.511408,0
FCR,50,2014-08-04 12:00:00,5,2.370696,0
FCR,50,2014-08-04 12:00:00,9,6.957936,0
FCR,50,2014-08-11 12:00:00,0.1,7.700632,0
FCR,50,2014-08-11 12:00:00,5,3.59396,0
FCR,50,2014-08-11 12:00:00,9,6.258928,0
FCR,50,2014-08-18 12:00:00,0.1,7.045312,0
FCR,50,2014-08-18 12:00:00,5,3.15708,0
FCR,50,2014-08-18 12:00:00,9,5.55992,0
FCR,50,2014-08-25 12:00:00,0.1,8.270453,0
FCR,50,2014-08-25 12:00:00,5,5.315921,0
FCR,50,2014-08-25 12:00:00,9,4.533839,0
FCR,50,2014-09-03 12:00:00,0.1,7.52588,0
FCR,50,2014-09-03 12:00:00,5,3.708308,0
FCR,50,2014-09-03 12:00:00,9,3.664859,0
FCR,50,2014-09-08 12:00:00,0.1,6.402146,0
FCR,50,2014-09-08 12:00:00,5,3.795206,0
FCR,50,2014-09-08 12:00:00,9,2.578634,0
FCR,50,2014-09-15 12:00:00,0.1,3.882104,0
FCR,50,2014-09-15 12:00:00,5,4.577288,0
FCR,50,2014-09-15 12:00:00,9,4.620737,0
FCR,50,2014-09-22 12:00:00,0.1,8.009759,0
FCR,50,2014-09-22 12:00:00,5,5.315921,0
FCR,50,2014-09-22 12:00:00,9,3.360716,0
FCR,50,2014-09-29 12:00:00,0.1,6.271799,0
FCR,50,2014-09-29 12:00:00,5,3.795206,0
FCR,50,2014-09-29 12:00:00,9,4.446941,0
FCR,50,2014-10-06 12:00:00,0.1,5.750411,0
FCR,50,2014-10-06 12:00:00,5,4.837982,0
FCR,50,2014-10-06 12:00:00,9,3.18692,0
FCR,50,2014-10-15 12:00:00,0.1,5.533166,0
FCR,50,2014-10-15 12:00:00,5,4.360043,0
FCR,50,2014-10-15 12:00:00,9,3.664859,0
FCR,50,2014-10-23 12:00:00,0.1,5.185574,0
FCR,50,2014-10-23 12:00:00,5,5.750411,0
FCR,50,2014-10-23 12:00:00,9,7.176376,0
FCR,50,2014-11-10 12:00:00,0.1,5.446268,0
FCR,50,2014-11-10 12:00:00,5,4.533839,0
FCR,50,2014-11-10 12:00:00,9,5.822048,0
GWR,50,2014-04-18 12:00:00,0.1,3.766266,0
GWR,50,2014-04-18 12:00:00,5,4.83551,0
GWR,50,2014-04-18 12:00:00,10,2.551216,0
GWR,50,2014-04-26 12:00:00,0.1,3.474654,0
GWR,50,2014-04-26 12:00:00,4,3.13444,0
GWR,50,2014-04-26 12:00:00,10,3.13444,0
GWR,50,2014-05-09 12:00:00,0.1,2.697022,0
GWR,50,2014-05-09 12:00:00,5,2.988634,0
GWR,50,2014-05-09 12:00:00,10,2.842828,0
GWR,50,2014-05-16 12:00:00,0.1,2.502614,0
GWR,50,2014-05-16 12:00:00,5,2.599818,0
GWR,50,2014-05-16 12:00:00,10,3.231644,0
GWR,50,2014-06-04 12:00:00,0.1,2.114258,0
GWR,50,2014-06-04 12:00:00,5,2.765376,0
GWR,50,2014-06-04 12:00:00,12,3.416494,0
GWR,50,2014-06-16 12:00:00,0.1,1.46314,0
GWR,50,2014-06-16 12:00:00,5,1.964,0
GWR,50,2014-06-16 12:00:00,12,3.266236,0
GWR,50,2014-06-29 12:00:00,0.1,1.513226,0
GWR,50,2014-06-29 12:00:00,5,1.663484,0
GWR,50,2014-06-29 12:00:00,12,3.666924,0
GWR,50,2014-07-09 12:00:00,0.1,2.21443,0
GWR,50,2014-07-09 12:00:00,5,2.46486,0
GWR,50,2014-07-09 12:00:00,12,1.863828,0
GWR,50,2014-07-25 12:00:00,0.1,2.865548,0
GWR,50,2014-07-25 12:00:00,5,2.71529,0
GWR,50,2014-07-25 12:00:00,12,2.21443,0
GWR,50,2014-08-11 12:00:00,0.1,1.453248,0
GWR,50,2014-08-11 12:00:00,5,2.239632,0
GWR,50,2014-08-11 12:00:00,10,3.15708,0
GWR,50,2014-08-22 12:00:00,0.1,1.579307,0
GWR,50,2014-08-22 12:00:00,5,2.327008,0
GWR,50,2014-08-22 12:00:00,12,3.331832,0
GWR,50,2014-09-07 12:00:00,0.1,1.492409,0
GWR,50,2014-09-07 12:00:00,5,3.15708,0
GWR,50,2014-09-07 12:00:00,12,3.026016,0
GWR,50,2014-09-30 12:00:00,0.1,2.195944,0
GWR,50,2014-09-30 12:00:00,5,2.327008,0
GWR,50,2014-09-30 12:00:00,12,3.244456,0
SHR,50,2014-05-02 12:00:00,0.1,5.710346,0
SHR,50,2014-05-02 12:00:00,5,6.05056,0
SHR,50,2014-05-02 12:00:00,14,5.904754,0
SHR,50,2014-05-08 12:00:00,0.1,5.07852,0
SHR,50,2014-05-08 12:00:00,8,6.244968,0
SHR,50,2014-05-08 12:00:00,14,5.758948,0
SHR,50,2014-05-30 12:00:00,0.1,4.868988,0
SHR,50,2014-05-30 12:00:00,8,5.953356,0
SHR,50,2014-05-30 12:00:00,25,5.169504,0
SHR,50,2014-06-12 12:00:00,0.1,4.017526,0
SHR,50,2014-06-12 12:00:00,8,4.618558,0
SHR,50,2014-06-12 12:00:00,28,5.169504,0
SHR,50,2014-06-26 12:00:00,0.1,4.368128,0
SHR,50,2014-06-26 12:00:00,7,5.019246,0
SHR,50,2014-06-26 12:00:00,28,4.868988,0
SHR,50,2014-07-10 12:00:00,0.1,3.767096,0
SHR,50,2014-07-10 12:00:00,7,4.618558,0
SHR,50,2014-07-10 12:00:00,28,5.269676,0
SHR,50,2014-07-24 12:00:00,0.1,4.017526,0
SHR,50,2014-07-24 12:00:00,7,4.868988,0
SHR,50,2014-07-24 12:00:00,28,5.319762,0
SHR,50,2014-08-07 12:00:00,0.1,3.506584,0
SHR,50,2014-08-07 12:00:00,7,4.24928,0
SHR,50,2014-08-07 12:00:00,28,4.424032,0
SHR,50,2014-09-05 12:00:00,0.1,3.288144,0
SHR,50,2014-09-05 12:00:00,7,5.079352,0
SHR,50,2014-09-05 12:00:00,28,5.533166,0
SHR,50,2014-10-03 12:00:00,0.1,3.37552,0
SHR,50,2014-10-03 12:00:00,8,3.751757,0
SHR,50,2014-10-03 12:00:00,28,5.472544,0
SHR,50,2014-10-24 12:00:00,0.1,3.8124,0
SHR,50,2014-10-24 12:00:00,7,4.424032,0
SHR,50,2014-10-24 12:00:00,28,5.647296,0
SML,50,2014-05-06 12:00:00,0.1,3.912072,0
SML,50,2014-05-06 12:00:00,8,4.5925,0
SML,50,2014-05-06 12:00:00,30,5.272928,0
SML,50,2014-06-03 12:00:00,0.1,0.21099,0
SML,50,2014-06-03 12:00:00,8,2.164344,0
SML,50,2014-06-03 12:00:00,25,3.917354,0
SML,50,2014-06-10 12:00:00,0.1,0,0
SML,50,2014-06-10 12:00:00,8,2.665204,0
SML,50,2014-06-24 12:00:00,0.1,0.311162,0
SML,50,2014-06-24 12:00:00,6,3.566752,0
SML,50,2014-06-24 12:00:00,25,4.067612,0
SML,50,2014-07-08 12:00:00,0.1,0.411334,0
SML,50,2014-07-08 12:00:00,7,0.71185,0
SML,50,2014-07-08 12:00:00,25,3.616838,0
SML,50,2014-07-22 12:00:00,0.1,1.312882,0
SML,50,2014-07-22 12:00:00,7,3.566752,0
SML,50,2014-07-22 12:00:00,25,4.067612,0
SML,50,2014-08-05 12:00:00,0.1,1.016368,0
SML,50,2014-08-05 12:00:00,6,1.977504,0
SML,50,2014-08-05 12:00:00,28,3.288144,0
SML,50,2014-08-19 12:00:00,0.1,1.188266,0
SML,50,2014-08-19 12:00:00,7,2.622083,0
SML,50,2014-08-19 12:00:00,25,4.099349,0
SML,50,2014-09-23 12:00:00,0.1,1.540624,0
SML,50,2014-09-23 12:00:00,7,2.50176,0
SML,50,2014-09-23 12:00:00,28,2.7202,0
FCR,100,2014-04-21 12:00:00,0.1,12.462624,0
FCR,100,2014-04-28 12:00:00,0.1,7.184228,0
FCR,100,2014-05-05 12:00:00,0.1,5.953112,0
FCR,100,2014-05-12 12:00:00,0.1,5.79386,0
FCR,100,2014-05-19 12:00:00,0.1,0,4
FCR,100,2014-05-26 12:00:00,0.1,9.747719,0
FCR,100,2014-06-02 12:00:00,0.1,4.618558,0
FCR,100,2014-06-09 12:00:00,0.1,9.579216,0
FCR,100,2014-06-16 12:00:00,0.1,9.49184,0
FCR,100,2014-06-23 12:00:00,0.1,9.71028,0
FCR,100,2014-06-29 12:00:00,0.1,2.676512,0
FCR,100,2014-06-30 12:00:00,0.1,8.923896,0
FCR,100,2014-07-07 12:00:00,0.1,7.176376,0
FCR,100,2014-07-14 12:00:00,0.1,4.598784,0
FCR,100,2014-07-21 12:00:00,0.1,4.729848,0
FCR,100,2014-07-28 12:00:00,0.1,7.263752,0
FCR,100,2014-08-04 12:00:00,0.1,8.443328,0
FCR,100,2014-08-11 12:00:00,0.1,9.400127,0
FCR,100,2014-08-18 12:00:00,0.1,6.783184,0
FCR,100,2014-08-25 12:00:00,0.1,7.922861,0
FCR,100,2014-09-03 12:00:00,0.1,11.181536,0
FCR,100,2014-09-08 12:00:00,0.1,2.187593,0
FCR,100,2014-09-15 12:00:00,0.1,5.620064,0
FCR,100,2014-09-22 12:00:00,0.1,9.139433,0
FCR,100,2014-09-29 12:00:00,0.1,10.877393,0
FCR,100,2014-10-06 12:00:00,0.1,6.098003,0
FCR,100,2014-10-15 12:00:00,0.1,4.642472,0
FCR,100,2014-10-23 12:00:00,0.1,9.098648,0
FCR,100,2014-11-10 12:00:00,0.1,8.880208,0
